									
# sent_id=1									
1	די	_	DET	_	_	_	_	_	_
2	זכרונות	_	NOUN	_	_	_	_	_	_
3	זאָלן	_	AUX	_	_	_	_	_	_
4	דאָם	_	_	_	_	_	_	_	_
5	זיין	_	_	_	_	_	_	_	_
6	אַ	_	DET	_	_	_	_	_	_
7	שטיקל	_	NOUN	_	_	_	_	_	_
8	טרייסט	_	_	_	_	_	_	_	_
9	פאַר	_	_	_	_	_	_	_	_
10	אים	_	PRON	_	_	_	_	_	_
11	אין	_	ADP	_	_	_	_	_	_
12	דער	_	DET	_	_	_	_	_	_
13	עלנט	_	NOUN	_	_	_	_	_	_
14	און	_	CCONJ	_	_	_	_	_	_
15	אַ	_	DET	_	_	_	_	_	_
16	זכר	_	NOUN	_	_	_	_	_	_
17	פון	_	ADP	_	_	_	_	_	_
18	אים	_	PRON	_	_	_	_	_	_
19	אין	_	ADP	_	_	_	_	_	_
20	דער	_	DET	_	_	_	_	_	_
21	משפּחה	_	NOUN	_	_	_	_	_	_
22	.	_	PUNCT	_	_	_	_	_	_
									
# sent_id=1115									
1	אַזוי	_	ADV	_	_	_	_	_	_
2	איז	_	X	_	_	_	_	_	_
3	דאָס	_	DET	_	_	_	_	_	_
4	צוגעגאַנגען	_	_	_	_	_	_	_	_
5	יאָר	_	NOUN	_	_	_	_	_	_
6	אויף	_	ADP	_	_	_	_	_	_
7	יאָר	_	NOUN	_	_	_	_	_	_
8	.	_	PUNCT	_	_	_	_	_	_
									
# sent_id=1280									
1	ער	_	PRON	_	_	_	_	_	_
2	האָט	_	X	_	_	_	_	_	_
3	דאָס	_	DET	_	_	_	_	_	_
4	געטאָן	_	VERB	_	_	_	_	_	_
5	,	_	PUNCT	_	_	_	_	_	_
6	איז	_	X	_	_	_	_	_	_
7	געגאַנגען	_	VERB	_	_	_	_	_	_
8	צום	_	ADP	_	_	_	_	_	_
9	אייננעמער	_	_	_	_	_	_	_	_
10	און	_	CCONJ	_	_	_	_	_	_
11	אים	_	PRON	_	_	_	_	_	_
12	פירגעשטעלט	_	_	_	_	_	_	_	_
13	די	_	DET	_	_	_	_	_	_
14	גאַנצע	_	ADJ	_	_	_	_	_	_
15	לאַגע	_	NOUN	_	_	_	_	_	_
16	.	_	PUNCT	_	_	_	_	_	_
									
# sent_id=1349									
1	אַזוי	_	ADV	_	_	_	_	_	_
2	איז	_	X	_	_	_	_	_	_
3	ער	_	PRON	_	_	_	_	_	_
4	געקומען	_	VERB	_	_	_	_	_	_
5	אַהיים	_	_	_	_	_	_	_	_
6	מיט	_	ADP	_	_	_	_	_	_
7	דעם	_	DET	_	_	_	_	_	_
8	געלט	_	NOUN	_	_	_	_	_	_
9	און	_	CCONJ	_	_	_	_	_	_
10	מיט	_	ADP	_	_	_	_	_	_
11	דער	_	DET	_	_	_	_	_	_
12	נאַכריכט	_	_	_	_	_	_	_	_
13	.	_	PUNCT	_	_	_	_	_	_
									
# sent_id=1515									
1	איך	_	PRON	_	_	_	_	_	_
2	בּין	_	AUX	_	_	_	_	_	_
3	דעמאָלט	_	ADV	_	_	_	_	_	_
4	אַלט	_	ADJ	_	_	_	_	_	_
5	געווען	_	X	_	_	_	_	_	_
6	14	_	_	_	_	_	_	_	_
7	יאָר	_	NOUN	_	_	_	_	_	_
8	.	_	PUNCT	_	_	_	_	_	_
									
# sent_id=1738									
1	איך	_	PRON	_	_	_	_	_	_
2	האָבּ	_	X	_	_	_	_	_	_
3	זיך	_	PRON	_	_	_	_	_	_
4	געלאָזט	_	AUX	_	_	_	_	_	_
5	מאַכן	_	VERB	_	_	_	_	_	_
6	אַ	_	DET	_	_	_	_	_	_
7	קריצשטיקל	_	_	_	_	_	_	_	_
8	און	_	CCONJ	_	_	_	_	_	_
9	האָבּ	_	X	_	_	_	_	_	_
10	זיך	_	PRON	_	_	_	_	_	_
11	געלערנט	_	ADJ	_	_	_	_	_	_
12	קריצן	_	_	_	_	_	_	_	_
13	אותיות	_	_	_	_	_	_	_	_
14	אויף	_	ADP	_	_	_	_	_	_
15	צין	_	NOUN	_	_	_	_	_	_
16	.	_	PUNCT	_	_	_	_	_	_
									
# sent_id=1805									
1	ער	_	PRON	_	_	_	_	_	_
2	איז	_	X	_	_	_	_	_	_
3	געווען	_	X	_	_	_	_	_	_
4	אַ	_	DET	_	_	_	_	_	_
5	בּירשיינקער	_	_	_	_	_	_	_	_
6	.	_	PUNCT	_	_	_	_	_	_
									
# sent_id=2105									
1	ווער	_	PRON	_	_	_	_	_	_
2	איז	_	X	_	_	_	_	_	_
3	נאָך	_	X	_	_	_	_	_	_
4	דעמאָלט	_	ADV	_	_	_	_	_	_
5	געווען	_	X	_	_	_	_	_	_
6	אַזוי	_	ADV	_	_	_	_	_	_
7	צופרידן	_	_	_	_	_	_	_	_
8	ווי	_	X	_	_	_	_	_	_
9	איך	_	PRON	_	_	_	_	_	_
10	?	_	PUNCT	_	_	_	_	_	_
									
# sent_id=2329									
1	איך	_	PRON	_	_	_	_	_	_
2	האָבּ	_	X	_	_	_	_	_	_
3	אים	_	PRON	_	_	_	_	_	_
4	אָבּער	_	_	_	_	_	_	_	_
5	ניט	_	PART	_	_	_	_	_	_
6	געקענט	_	VERB	_	_	_	_	_	_
7	און	_	CCONJ	_	_	_	_	_	_
8	ניט	_	PART	_	_	_	_	_	_
9	געהערט	_	VERB	_	_	_	_	_	_
10	פון	_	ADP	_	_	_	_	_	_
11	אים	_	PRON	_	_	_	_	_	_
12	.	_	PUNCT	_	_	_	_	_	_
									
# sent_id=2436									
1	בּין	_	AUX	_	_	_	_	_	_
2	איך	_	PRON	_	_	_	_	_	_
3	מיט	_	ADP	_	_	_	_	_	_
4	מיין	_	X	_	_	_	_	_	_
5	בּרודער	_	_	_	_	_	_	_	_
6	געגאַנגען	_	VERB	_	_	_	_	_	_
7	צו	_	ADP	_	_	_	_	_	_
8	איר	_	PRON	_	_	_	_	_	_
9	.	_	PUNCT	_	_	_	_	_	_
									
# sent_id=2550									
1	האָט	_	X	_	_	_	_	_	_
2	זי	_	PRON	_	_	_	_	_	_
3	דאָס	_	DET	_	_	_	_	_	_
4	מיר	_	PRON	_	_	_	_	_	_
5	אָפּגעלאָזט	_	_	_	_	_	_	_	_
6	.	_	PUNCT	_	_	_	_	_	_
									
# sent_id=3104									
1	איך	_	PRON	_	_	_	_	_	_
2	פלעג	_	_	_	_	_	_	_	_
3	זיך	_	PRON	_	_	_	_	_	_
4	אויך	_	ADV	_	_	_	_	_	_
5	ניט	_	PART	_	_	_	_	_	_
6	נעמען	_	VERB	_	_	_	_	_	_
7	צום	_	ADP	_	_	_	_	_	_
8	האַרצן	_	NOUN	_	_	_	_	_	_
9	,	_	PUNCT	_	_	_	_	_	_
10	טאָמער	_	X	_	_	_	_	_	_
11	געראָט	_	_	_	_	_	_	_	_
12	עפּעס	_	X	_	_	_	_	_	_
13	ניט	_	PART	_	_	_	_	_	_
14	אַמאָל	_	ADV	_	_	_	_	_	_
15	און	_	CCONJ	_	_	_	_	_	_
16	מ'דאַרף	_	_	_	_	_	_	_	_
17	טון	_	NOUN	_	_	_	_	_	_
18	די	_	DET	_	_	_	_	_	_
19	אַרבּעט	_	_	_	_	_	_	_	_
20	נאָך	_	X	_	_	_	_	_	_
21	אַמאָל	_	ADV	_	_	_	_	_	_
22	.	_	PUNCT	_	_	_	_	_	_
									
# sent_id=3288									
1	איז	_	X	_	_	_	_	_	_
2	קיין	_	X	_	_	_	_	_	_
3	גרויסע	_	_	_	_	_	_	_	_
4	קונץ	_	NOUN	_	_	_	_	_	_
5	ניט	_	PART	_	_	_	_	_	_
6	.	_	PUNCT	_	_	_	_	_	_
									
# sent_id=3316									
1	זאָל	_	AUX	_	_	_	_	_	_
2	אַרויפגיין	_	_	_	_	_	_	_	_
3	אויף	_	ADP	_	_	_	_	_	_
4	דער	_	DET	_	_	_	_	_	_
5	טרעפּ	_	NOUN	_	_	_	_	_	_
6	מיט	_	ADP	_	_	_	_	_	_
7	אַ	_	DET	_	_	_	_	_	_
8	זאַק	_	NOUN	_	_	_	_	_	_
9	קאָרן	_	NOUN	_	_	_	_	_	_
10	אויפן	_	_	_	_	_	_	_	_
11	רוקן	_	NOUN	_	_	_	_	_	_
12	—	_	PUNCT	_	_	_	_	_	_
13	דאָס	_	DET	_	_	_	_	_	_
14	איז	_	X	_	_	_	_	_	_
15	מיר	_	PRON	_	_	_	_	_	_
16	אויסגעקומען	_	_	_	_	_	_	_	_
17	עפּעס	_	X	_	_	_	_	_	_
18	צו	_	ADP	_	_	_	_	_	_
19	.	_	PUNCT	_	_	_	_	_	_
									
# sent_id=3353									
1	איך	_	PRON	_	_	_	_	_	_
2	בּין	_	AUX	_	_	_	_	_	_
3	פאַרטיג	_	_	_	_	_	_	_	_
4	געוואָרן	_	AUX	_	_	_	_	_	_
5	דערמיט	_	ADV	_	_	_	_	_	_
6	,	_	PUNCT	_	_	_	_	_	_
7	זיין	_	_	_	_	_	_	_	_
8	נאָמען	_	NOUN	_	_	_	_	_	_
9	איז	_	X	_	_	_	_	_	_
10	שוין	_	ADV	_	_	_	_	_	_
11	אויך	_	ADV	_	_	_	_	_	_
12	געווען	_	X	_	_	_	_	_	_
13	,	_	PUNCT	_	_	_	_	_	_
14	און	_	CCONJ	_	_	_	_	_	_
15	איך	_	PRON	_	_	_	_	_	_
16	האָבּ	_	X	_	_	_	_	_	_
17	עס	_	X	_	_	_	_	_	_
18	אָפּגעקוועטשט	_	_	_	_	_	_	_	_
19	.	_	PUNCT	_	_	_	_	_	_
									
# sent_id=3407									
1	בּאַטראַכט	_	_	_	_	_	_	_	_
2	ער	_	PRON	_	_	_	_	_	_
3	דאָם	_	_	_	_	_	_	_	_
4	און	_	CCONJ	_	_	_	_	_	_
5	לסוף	_	ADV	_	_	_	_	_	_
6	דערמאָנט	_	VERB	_	_	_	_	_	_
7	ער	_	PRON	_	_	_	_	_	_
8	זיך	_	PRON	_	_	_	_	_	_
9	,	_	PUNCT	_	_	_	_	_	_
10	אַז	_	SCONJ	_	_	_	_	_	_
11	ער	_	PRON	_	_	_	_	_	_
12	האָט	_	X	_	_	_	_	_	_
13	נאָך	_	X	_	_	_	_	_	_
14	געוואָלט	_	VERB	_	_	_	_	_	_
15	האָבּן	_	X	_	_	_	_	_	_
16	אַ	_	DET	_	_	_	_	_	_
17	יונג	_	_	_	_	_	_	_	_
18	,	_	PUNCT	_	_	_	_	_	_
19	וואָס	_	X	_	_	_	_	_	_
20	זאָל	_	AUX	_	_	_	_	_	_
21	אַרויפשטייגן	_	_	_	_	_	_	_	_
22	אויף	_	ADP	_	_	_	_	_	_
23	דער	_	DET	_	_	_	_	_	_
24	טרעפּ	_	NOUN	_	_	_	_	_	_
25	מיט	_	ADP	_	_	_	_	_	_
26	אַ	_	DET	_	_	_	_	_	_
27	זאַק	_	NOUN	_	_	_	_	_	_
28	קאָרן	_	NOUN	_	_	_	_	_	_
29	אויף	_	ADP	_	_	_	_	_	_
30	דעם	_	DET	_	_	_	_	_	_
